Cherkasy;Chernihiv;235
Chernihiv;Chernivtsi;523
Chernivtsi;Simferopol;725
Simferopol;Dnipropetrovsk;397
Dnipropetrovsk;Donetsk;210
Donetsk;Ivano-Frankivsk;969
Ivano-Frankivsk;Kharkiv;840
Kharkiv;Kherson;459
Kherson;Khmelnytskyi;520
Khmelnytskyi;Kyiv;278
Kyiv;Kirovohrad;250
Kirovohrad;Kyiv;250
Kyiv;Lviv;468
Lviv;Luhansk;1117
Luhansk;Lutsk;1032
Lutsk;Lviv;138
Lviv;Sevastopol;922
Sevastopol;Mykolaiv;288
Mykolaiv;Odessa;111
Odessa;Poltava;447
Poltava;Rivne;603
Rivne;Sevastopol;863
Sevastopol;Simferopol;62
Simferopol;Sumy;664
Sumy;Ternopil;671
Ternopil;Uzhhorod;262
Uzhhorod;Vinnytsya;456
Uzhhorod;Zaporizhzhya;955
Zaporizhzhya;Zhytomyr;547
Zhytomyr;Kyiv;134
