,predicted_mean
2018-01-01,407.9425435332329
2018-02-01,408.65661601117716
2018-03-01,409.3503231890666
2018-04-01,410.9334411758416
2018-05-01,411.1256443335858
2018-06-01,410.4660293513843
2018-07-01,409.0385505958776
2018-08-01,406.6510045070984
2018-09-01,405.44444349043573
2018-10-01,405.7354269185073
2018-11-01,407.4362585735568
2018-12-01,409.2804315066515
2019-01-01,410.4214874212795
2019-02-01,411.12533781301966
2019-03-01,412.04240463069704
2019-04-01,413.52137018496256
2019-05-01,414.14390356065013
2019-06-01,413.42520233369385
2019-07-01,411.6315981663909
2019-08-01,409.6371138878011
2019-09-01,408.1794546647749
2019-10-01,408.4803308056948
2019-11-01,410.07946445984936
2019-12-01,411.48306748616494
2020-01-01,412.6709674229676
2020-02-01,413.34692858290384
2020-03-01,414.28313482580836
2020-04-01,415.7225274591471
2020-05-01,416.40432001661395
2020-06-01,415.65619166398795
2020-07-01,413.9617709739038
2020-08-01,411.86706275585095
2020-09-01,410.4165191337232
2020-10-01,410.71223870040444
2020-11-01,412.3056593181044
2020-12-01,413.7637947855901
2021-01-01,414.9492215990525
2021-02-01,415.6616013794556
2021-03-01,416.58085010941033
2021-04-01,418.0581346282478
2021-05-01,418.68215455078416
2021-06-01,417.9630688658266
2021-07-01,416.1736590230097
2021-08-01,414.1774787200744
2021-09-01,412.72100534531114
2021-10-01,413.02152551028655
2021-11-01,414.61942174209827
2021-12-01,416.023736245914
2022-01-01,417.2107704216057
2022-02-01,417.8873808208495
2022-03-01,418.8224516662118
2022-04-01,420.2620295929668
2022-05-01,420.94162405483996
2022-06-01,420.1948706733521
2022-07-01,418.4987108746275
2022-08-01,416.4083720312627
2022-09-01,414.95861541669194
2022-10-01,415.2542829644233
2022-11-01,416.8467775254739
2022-12-01,418.3023171713046
2023-01-01,419.48700305187793
2023-02-01,420.19782860211325
2023-03-01,421.1169427810135
2023-04-01,422.5921051871521
2023-05-01,423.21738722003596
2023-06-01,422.4979451888921
2023-07-01,420.71254207320516
2023-08-01,418.7148486983752
2023-09-01,417.2595480538736
2023-10-01,417.5597215910112
2023-11-01,419.1563906094963
2023-12-01,420.561316272763
2024-01-01,421.7474890314952
2024-02-01,422.42468171904034
2024-03-01,423.35864813657435
2024-04-01,424.7983415772249
2024-05-01,425.4758438642657
2024-06-01,424.7304122731189
2024-07-01,423.03268797957554
2024-08-01,420.94653802138913
2024-09-01,419.49757953447363
2024-10-01,419.7931862042274
2024-11-01,421.3847462340169
2024-12-01,422.8377885994623
2025-01-01,424.02173040340375
2025-02-01,424.73106725588497
2025-03-01,425.65001769463976
2025-04-01,427.1231269509427
2025-05-01,427.74956899428895
2025-06-01,427.0298215139591
2025-07-01,425.2482542726718
2025-08-01,423.2492209646232
2025-09-01,421.7950809608569
2025-10-01,422.09491672723357
2025-11-01,423.6903681851802
2025-12-01,425.0958107631189
2026-01-01,426.28112622084427
2026-02-01,426.95883828985535
2026-03-01,427.89172941261
2026-04-01,429.33147282247796
2026-05-01,430.0069825051703
2026-06-01,429.2628227008912
2026-07-01,427.5636979810991
2026-08-01,425.4815672141304
2026-09-01,424.0334172669092
2026-10-01,424.3289547403724
2026-11-01,425.91957231716384
2026-12-01,427.37021005803166
2027-01-01,428.553404862848
2027-02-01,429.26131462901463
2027-03-01,430.1800739186042
2027-04-01,431.651194881486
2027-05-01,432.27870099144184
2027-06-01,431.55869587904095
2027-07-01,429.7808038838295
2027-08-01,427.78059331648143
2027-09-01,426.3276025512541
2027-10-01,426.6271088795562
2027-11-01,428.22135189278316
2027-12-01,429.62722284554485
2028-01-01,430.811684902998
2028-02-01,431.4898572474988
2028-03-01,432.4217004822261
2028-04-01,433.86143229683995
2028-05-01,434.5350429771586
2028-06-01,433.79210794258836
2028-07-01,432.09173695388387
2028-08-01,430.0134658307242
2028-09-01,428.566134169773
2028-10-01,428.86159463683373
2028-11-01,430.4512623584965
2028-12-01,431.89958259894337
2029-01-01,433.0820276900679
2029-02-01,433.7885682961036
2029-03-01,434.7071107005434
2029-04-01,436.1763043668251
2029-05-01,436.80478438545396
2029-06-01,436.0845665633897
2029-07-01,434.3101987956719
2029-08-01,432.3089638073714
2029-09-01,430.8571115245204
2029-10-01,431.15629625456546
2029-11-01,432.7493394341759
2029-12-01,434.15555558383187
2030-01-01,435.33916793944655
2030-02-01,436.0177450257971
2030-03-01,436.948566156721
2030-04-01,438.38822855249674
2030-05-01,439.06002822272535
2030-06-01,438.31827374749423
2030-07-01,436.6168013318812
2030-08-01,434.54223984169505
2030-09-01,433.0957355881606
2030-10-01,433.39111171634914
2030-11-01,434.9798226690907
2030-12-01,436.42590733416193
2031-01-01,437.6076001924316
2031-02-01,438.3128261008114
2031-03-01,439.2311274565514
2031-04-01,440.6984511954746
2031-05-01,441.32782040289163
2031-06-01,440.60743207290926
2031-07-01,438.8364465461333
2031-08-01,436.83433073101287
2031-09-01,435.3836067815963
2031-10-01,435.68247728995874
2031-11-01,437.2743287726546
2031-12-01,438.68081198080813
2032-01-01,439.86357814285776
2032-02-01,440.5425077949712
2032-03-01,441.47233108131763
2032-04-01,442.91186975062783
2032-05-01,443.58194113060495
2032-06-01,442.8413256423998
2032-07-01,441.1388878866245
2032-08-01,439.06789498184287
2032-09-01,437.62222666907104
